Country,Digital_by_Design_2023,Data_driven_2023,Gov_as_Platform_2023,Open_by_Default_2023,User_driven_2023,Proactiveness_2023,Composite_2023
KOR,0.971,1.0,0.913,0.882,0.909,0.934,0.935
DNK,0.851,0.833,0.896,0.783,0.715,0.788,0.811
GBR,0.914,0.598,0.696,0.667,0.925,0.853,0.775
NOR,0.758,0.851,0.818,0.588,0.853,0.75,0.77
AUS,0.973,0.774,0.738,0.466,0.833,0.736,0.753
EST,0.692,0.949,0.705,0.623,0.614,0.869,0.742
COL,0.814,0.794,0.654,0.731,0.775,0.647,0.736
IRL,0.844,0.861,0.632,0.56,0.684,0.701,0.714
FRA,0.677,0.816,0.577,0.761,0.595,0.561,0.665
CAN,0.829,0.64,0.436,0.727,0.749,0.547,0.655
PRT,0.77,0.555,0.593,0.493,0.809,0.618,0.64
FIN,0.721,0.679,0.676,0.428,0.667,0.663,0.639
ISL,0.676,0.597,0.659,0.503,0.668,0.713,0.636
LTU,0.59,0.753,0.651,0.561,0.619,0.477,0.608
ESP,0.697,0.529,0.616,0.647,0.508,0.598,0.599
LVA,0.685,0.654,0.678,0.629,0.551,0.385,0.597
CZE,0.613,0.679,0.631,0.642,0.571,0.421,0.593
TUR,0.689,0.554,0.607,0.235,0.669,0.76,0.586
ITA,0.684,0.534,0.59,0.549,0.65,0.461,0.578
POL,0.627,0.598,0.667,0.502,0.615,0.415,0.571
LUX,0.672,0.476,0.675,0.411,0.534,0.637,0.567
NLD,0.679,0.513,0.579,0.521,0.442,0.639,0.562
AUT,0.766,0.38,0.773,0.416,0.483,0.465,0.547
BEL,0.652,0.543,0.664,0.347,0.58,0.448,0.539
MEX,0.658,0.473,0.638,0.466,0.479,0.501,0.536
SWE,0.486,0.746,0.489,0.512,0.436,0.478,0.525
NZL,0.588,0.549,0.437,0.297,0.519,0.61,0.5
SVN,0.559,0.489,0.621,0.465,0.328,0.527,0.498
ISR,0.536,0.472,0.573,0.542,0.669,0.179,0.495
HUN,0.593,0.677,0.413,0.456,0.432,0.374,0.491
JPN,0.609,0.525,0.505,0.389,0.44,0.431,0.483
CHL,0.407,0.469,0.374,0.25,0.383,0.504,0.398
CRI,0.283,0.317,0.118,0.288,0.321,0.019,0.224
