Country,Digital_by_Design_2019,Data_driven_2019,Gov_as_Platform_2019,Open_by_Default_2019,User_driven_2019,Proactiveness_2019,Composite_2019
KOR,0.82,0.68,0.89,0.9,0.67,0.5,0.742
GBR,0.67,0.69,0.9,0.85,0.78,0.51,0.736
COL,0.75,0.59,0.79,0.67,0.8,0.78,0.729
DNK,0.68,0.69,0.57,0.74,0.8,0.43,0.652
JPN,0.78,0.55,0.68,0.64,0.67,0.57,0.645
CAN,0.61,0.56,0.82,0.63,0.66,0.49,0.629
ESP,0.69,0.6,0.69,0.59,0.55,0.62,0.621
ISR,0.6,0.49,0.77,0.68,0.5,0.58,0.604
PRT,0.63,0.5,0.85,0.55,0.43,0.52,0.58
FRA,0.58,0.51,0.5,0.67,0.55,0.62,0.573
NZL,0.52,0.42,0.73,0.77,0.64,0.31,0.564
NOR,0.64,0.41,0.65,0.65,0.52,0.42,0.55
LUX,0.63,0.38,0.46,0.77,0.54,0.45,0.538
ITA,0.5,0.47,0.4,0.67,0.55,0.6,0.534
SVN,0.54,0.36,0.64,0.72,0.56,0.25,0.513
EST,0.52,0.47,0.44,0.65,0.39,0.39,0.478
LVA,0.48,0.35,0.38,0.66,0.32,0.66,0.474
AUT,0.63,0.34,0.24,0.51,0.46,0.54,0.452
NLD,0.64,0.39,0.48,0.64,0.36,0.18,0.45
CZE,0.51,0.29,0.48,0.78,0.36,0.18,0.434
IRL,0.42,0.37,0.55,0.63,0.29,0.22,0.411
CHL,0.38,0.26,0.46,0.59,0.42,0.36,0.411
BEL,0.43,0.3,0.48,0.53,0.29,0.4,0.406
DEU,0.5,0.27,0.37,0.55,0.31,0.41,0.398
LTU,0.43,0.5,0.34,0.51,0.26,0.34,0.397
FIN,0.42,0.23,0.21,0.74,0.33,0.2,0.356
GRC,0.3,0.35,0.39,0.69,0.21,0.13,0.347
ISL,0.31,0.29,0.29,0.28,0.23,0.29,0.282
SWE,0.28,0.35,0.33,0.36,0.1,0.11,0.257
URY,0.65,0.56,0.54,0.6,0.65,0.55,0.602
BRA,0.54,0.47,0.48,0.61,0.54,0.42,0.519
PAN,0.35,0.35,0.53,0.45,0.09,0.28,0.343
ARG,0.43,0.39,0.28,0.58,0.2,0.18,0.342
