rank,country,ourdata_index_2019,change_since_2017,data_availability_2019,availability_change,data_accessibility_2019,accessibility_change,gov_support_2019,support_change
1,Korea,0.93,-0.01,0.31,-0.01,0.29,0,0.33,0
2,France,0.9,0.05,0.3,0.02,0.31,0,0.29,0.03
3,Ireland,0.77,0.24,0.26,0.09,0.23,0.02,0.28,0.13
4,Japan,0.75,-0.05,0.27,-0.03,0.22,-0.02,0.25,-0.01
5,Canada,0.73,0.03,0.27,0.03,0.24,-0.03,0.21,0.03
6,Australia,0.72,0.1,0.24,0.1,0.24,0.03,0.25,-0.03
7,Mexico,0.71,-0.07,0.26,0,0.23,-0.02,0.22,-0.06
8,Spain,0.7,-0.06,0.2,-0.03,0.26,-0.01,0.23,-0.04
9,Greece,0.7,0.16,0.23,0.03,0.23,0.02,0.23,0.11
10,Slovenia,0.67,0.19,0.26,0.09,0.22,0.05,0.19,0.05
11,Austria,0.65,-0.03,0.11,-0.01,0.32,0,0.21,-0.03
12,New Zealand,0.65,0.07,0.21,0.02,0.26,0,0.18,0.05
13,Netherlands,0.65,-0.01,0.22,-0.01,0.24,-0.01,0.19,0.01
14,Poland,0.63,0.15,0.23,0.12,0.21,0,0.19,0.03
15,Norway,0.63,0.08,0.21,0.01,0.28,0.04,0.14,0.03
16,Czech Republic,0.61,0.16,0.21,0.03,0.21,-0.04,0.19,0.09
17,Italy,0.6,0.08,0.22,0.03,0.23,0,0.15,0.04
18,Israel,0.59,0.06,0.23,0.03,0.23,0.02,0.14,0.01
19,Belgium,0.58,0.12,0.19,-0.01,0.21,0.04,0.18,0.08
20,United Kingdom,0.57,-0.22,0.19,-0.09,0.24,-0.04,0.13,-0.1
21,Latvia,0.54,0.35,0.18,0.11,0.19,0.12,0.18,0.13
22,Luxembourg,0.53,NA,0.13,NA,0.24,NA,0.15,NA
23,Portugal,0.51,0.13,0.16,0.05,0.27,0.07,0.08,0
24,Estonia,0.51,0.06,0.14,0,0.27,0.01,0.1,0.05
25,Germany,0.5,0.09,0.17,0.02,0.27,0.09,0.07,-0.02
26,Slovak Republic,0.49,0.1,0.14,0,0.22,0.05,0.13,0.04
27,Denmark,0.49,0.27,0.14,0.07,0.18,0.08,0.16,0.13
28,Finland,0.47,-0.2,0.15,-0.05,0.24,0.01,0.08,-0.16
29,Switzerland,0.42,-0.01,0.13,0.03,0.17,-0.01,0.12,-0.03
30,Chile,0.41,0.1,0.15,0.05,0.2,0.01,0.07,0.04
31,Sweden,0.38,0.06,0.11,-0.02,0.13,0.04,0.14,0.05
32,Lithuania,0.35,0.03,0.1,-0.04,0.19,0.02,0.05,0.05
