country,content_of_the_open_by_default_policy,stakeholder_engagement_for_data_release,implementation.x,data_availability,content_of_the_free_and_open_access_to_data_policy,stakeholder_engagement_for_data_quality_and_completeness,implementation.y,data_accessibility,data_promotion_initiatives_and_partnerships,data_literacy_programmes_in_government,monitoring_impact,government_support_to_data_reuse,ourdata_index
OECD,0.64,0.33,0.47,0.48,0.68,0.42,0.68,0.59,0.35,0.45,0.29,0.37,0.48
AUS,0.38,0.55,0.38,0.44,0,0.19,0.61,0.27,0.28,0.5,0.08,0.29,0.3333333333333333
AUT,0.21,0.14,0.36,0.23,0.75,0.6,0.89,0.75,0.15,0.54,0.33,0.34,0.44
BEL,0.4,0.06,0.36,0.27,0.5,0.31,0.66,0.49,0.13,0.13,0.33,0.19,0.31666666666666665
BRA,0.84,0.53,0.43,0.6,0.75,0.54,0.64,0.64,0.31,0.88,0.17,0.45,0.5633333333333334
CAN,0.77,0.32,0.54,0.54,0.67,0.5,0.92,0.7,0.58,0.63,0.5,0.57,0.6033333333333333
CHE,0.53,0.28,0.64,0.49,0.67,0.28,0.71,0.55,0.23,0.69,0.25,0.39,0.4766666666666667
CHL,0.41,0.03,0.1,0.18,0,0,0.65,0.22,0,0,0,0,0.13333333333333333
COL,0.8,0.26,0.7,0.59,0,0.35,0.87,0.41,0.52,0.91,0.5,0.64,0.5466666666666666
CRI,0.2,0,0.02,0.07,1,0,0.4,0.47,0,0.13,0,0.04,0.19333333333333333
CZE,0.83,0.54,0.45,0.61,0.92,0,0.81,0.57,0.49,0.57,0.17,0.41,0.53
DEU,0.64,0.05,0.25,0.31,1,0.23,0.7,0.64,0.23,0.17,0.25,0.22,0.39
DNK,0.73,0.73,0.74,0.73,1,0.13,0.92,0.68,0.8,0.75,0.17,0.57,0.66
ESP,0.79,0.35,0.72,0.62,1,0.58,0.75,0.78,0.64,0.93,1,0.85,0.75
EST,0.87,0.69,0.59,0.72,0.92,0.83,0.81,0.85,0.62,0.97,0.58,0.72,0.7633333333333333
FIN,0.7,0.3,0.76,0.59,0.5,0.88,0.74,0.7,0.31,0.17,0.5,0.33,0.54
FRA,1,0.86,0.82,0.89,0.79,1,0.76,0.85,0.99,0.75,0.5,0.75,0.83
GBR,0.79,0.18,0.49,0.49,0.5,0,0.76,0.42,0.27,0.44,0,0.23,0.38
GRC,0.72,0.17,0.01,0.3,0.92,0,0.2,0.37,0.08,0,0,0.03,0.23333333333333334
HRV,0.52,0.38,0.15,0.35,1,0.35,0.45,0.6,0.07,0.35,0.17,0.2,0.3833333333333333
ISL,0.39,0.05,0.48,0.3,NA,NA,NA,NA,NA,NA,NA,NA,0.3
IRE,0.88,0.5,0.59,0.66,0.83,0.42,0.72,0.66,0.77,0.72,0.75,0.75,0.6900000000000001
ISR,0.4,0.3,0.33,0.34,1,0.54,0.65,0.73,0.11,0,0,0.04,0.37
ITA,0.85,0.21,0.25,0.44,1,0.44,0.58,0.67,0.08,0.88,0,0.32,0.4766666666666667
JPN,0.68,0.36,0.46,0.5,0,0.35,0.37,0.24,0.26,0.44,0.42,0.37,0.37
KOR,0.94,0.77,0.81,0.84,1,0.82,0.88,0.9,1,1,1,1,0.9133333333333333
LTU,0.81,0.71,0.63,0.71,NA,NA,NA,NA,NA,NA,NA,NA,0.71
LUX,0.5,0.05,0.45,0.33,0.92,0.6,0.65,0.72,0.19,0.23,0.08,0.17,0.4066666666666667
LVA,0.76,0,0.48,0.42,0.58,0.23,0.7,0.51,0.33,0.13,0,0.15,0.36
MEX,0.5,0.05,0.51,0.35,0.58,0,0.58,0.39,0.21,0,0,0.07,0.27
NLD,0.39,0.05,0.52,0.32,0.42,0.82,0.96,0.73,0.11,0,0.5,0.2,0.4166666666666667
NOR,0.83,0.5,0.63,0.65,0.92,0.83,0.91,0.89,0.52,0.46,0.17,0.38,0.64
NZL,0.47,0.13,0.28,0.29,0.38,0.63,0.54,0.51,0,0.21,0.33,0.18,0.32666666666666666
PER,0.9,0.26,0.41,0.52,0.83,0,0.64,0.49,0.54,0.97,0.17,0.56,0.5233333333333333
POL,0.97,0.56,0.4,0.64,1,1,0.89,0.96,0.85,1,0.42,0.75,0.7833333333333333
PRT,0.47,0.06,0.46,0.33,0.92,0.52,0.64,0.69,0.26,0.17,0.08,0.17,0.39666666666666667
ROU,0.36,0.24,0.18,0.26,0.33,0.83,0.59,0.59,0.3,0.21,0.33,0.28,0.37666666666666665
SVK,0.69,0.61,0.38,0.56,0.83,0.46,0.63,0.64,0.2,0.24,0.17,0.2,0.4666666666666667
SVN,0.73,0.63,0.66,0.67,0.75,0.6,0.84,0.73,0.32,0.94,0.58,0.61,0.67
SWE,0.79,0.62,0.57,0.66,1,0.55,0.64,0.73,0.38,0.86,0.5,0.58,0.6566666666666666
ICE,NA,NA,NA,NA,0.33,0,0.45,0.26,0.2,0,0,0.07,0.165
LTH,NA,NA,NA,NA,0.92,0.42,0.83,0.72,0.39,0.66,0.42,0.49,0.605
TUR,NA,NA,NA,NA,0,0,0,0,0.25,0.17,0,0.14,0.07
