country,indicator,raw_score,parent_score,total_raw,share,scaled_score,dimension,label,country_nb
DNK,content_of_the_free_and_open_access_to_data_policy,1,0.68,2.05,0.48780487804878053,0.3317073170731708,Tilgang,Policy for fri tilgang,Danmark
DNK,stakeholder_engagement_for_data_quality_and_completeness,0.13,0.68,2.05,0.06341463414634146,0.0431219512195122,Tilgang,Brukerinvolvering for datakvalitet,Danmark
DNK,implementation,0.92,0.68,2.05,0.4487804878048781,0.3051707317073171,Tilgang,Implementering av tilgjengelighet,Danmark
FRA,content_of_the_free_and_open_access_to_data_policy,0.79,0.85,2.55,0.30980392156862746,0.2633333333333333,Tilgang,Policy for fri tilgang,Frankrike
FRA,stakeholder_engagement_for_data_quality_and_completeness,1,0.85,2.55,0.3921568627450981,0.33333333333333337,Tilgang,Brukerinvolvering for datakvalitet,Frankrike
FRA,implementation,0.76,0.85,2.55,0.29803921568627456,0.25333333333333335,Tilgang,Implementering av tilgjengelighet,Frankrike
IRE,content_of_the_free_and_open_access_to_data_policy,0.83,0.66,1.97,0.4213197969543147,0.2780710659898477,Tilgang,Policy for fri tilgang,Irland
IRE,stakeholder_engagement_for_data_quality_and_completeness,0.42,0.66,1.97,0.2131979695431472,0.14071065989847717,Tilgang,Brukerinvolvering for datakvalitet,Irland
IRE,implementation,0.72,0.66,1.97,0.36548223350253806,0.24121827411167512,Tilgang,Implementering av tilgjengelighet,Irland
KOR,content_of_the_free_and_open_access_to_data_policy,1,0.9,2.7,0.37037037037037035,0.3333333333333333,Tilgang,Policy for fri tilgang,Sør-Korea
KOR,stakeholder_engagement_for_data_quality_and_completeness,0.82,0.9,2.7,0.30370370370370364,0.27333333333333326,Tilgang,Brukerinvolvering for datakvalitet,Sør-Korea
KOR,implementation,0.88,0.9,2.7,0.3259259259259259,0.29333333333333333,Tilgang,Implementering av tilgjengelighet,Sør-Korea
NOR,content_of_the_free_and_open_access_to_data_policy,0.92,0.89,2.66,0.3458646616541353,0.30781954887218044,Tilgang,Policy for fri tilgang,Norge
NOR,stakeholder_engagement_for_data_quality_and_completeness,0.83,0.89,2.66,0.3120300751879699,0.2777067669172932,Tilgang,Brukerinvolvering for datakvalitet,Norge
NOR,implementation,0.91,0.89,2.66,0.34210526315789475,0.30447368421052634,Tilgang,Implementering av tilgjengelighet,Norge
